GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
interfaces,ies.puerto.abstrac.Prueba,LecturaDatosAbstract,3,0,0,0,1,0,1,0,1,0
interfaces,ies.puerto.impl.Prueba,LecturaDatosBaseDatos,9,0,0,0,4,0,4,0,4,0
interfaces,ies.puerto.impl.Prueba,LecturaDatosFichero,9,0,0,0,4,0,4,0,4,0
interfaces,ies.puerto.app.Prueba,LecturaDatos,26,0,0,0,8,0,3,0,3,0
interfaces,ies.puerto.abstrac.Ejercicio1,ReproductorAbstract,3,0,0,0,1,0,1,0,1,0
interfaces,ies.puerto.abstrac.Ejercicio6,EmpleadoAbstract,19,21,0,0,6,7,4,4,4,4
interfaces,ies.puerto.abstrac.Ejercicio6,PersonaAbstract,18,46,0,0,7,14,3,4,3,4
interfaces,ies.puerto.abstrac.Ejercicio3,ConductorAbstract,3,0,0,0,1,0,1,0,1,0
interfaces,ies.puerto.abstrac.Ejercicio2,RegularesAbstract,32,0,0,0,12,0,7,0,7,0
interfaces,ies.puerto.abstrac.Ejercicio5,InstrumentoMusicalAbstract,3,0,0,0,1,0,1,0,1,0
interfaces,ies.puerto.abstrac.Ejercicio4,ConexionRedAbstract,3,0,0,0,1,0,1,0,1,0
interfaces,ies.puerto.app.Ejercicio2,AppArea,35,0,0,0,8,0,2,0,2,0
interfaces,ies.puerto.app.Ejercicio1,AppReproductor,16,0,0,0,5,0,2,0,2,0
interfaces,ies.puerto.app.Ejercicio4,AppConexion,16,0,0,0,6,0,2,0,2,0
interfaces,ies.puerto.app.Ejercicio3,AppAutomovil,14,0,0,0,6,0,2,0,2,0
interfaces,ies.puerto.app.Ejercicio6,App,56,0,0,0,13,0,2,0,2,0
interfaces,ies.puerto.impl.Ejercicio6,Profesor,10,24,0,0,4,6,3,4,3,4
interfaces,ies.puerto.impl.Ejercicio6,Alumno,10,18,0,0,4,5,3,3,3,3
interfaces,ies.puerto.app.Ejercicio5,AppInstrumentoMusical,28,0,0,0,10,0,2,0,2,0
interfaces,ies.puerto.impl.Ejercicio5,Guitarra,16,0,0,0,7,0,4,0,4,0
interfaces,ies.puerto.impl.Ejercicio4,ConexionWifi,7,0,0,0,3,0,2,0,2,0
interfaces,ies.puerto.impl.Ejercicio4,ConexionEthernet,7,0,0,0,3,0,2,0,2,0
interfaces,ies.puerto.impl.Ejercicio3,Automovil,15,0,0,0,7,0,4,0,4,0
interfaces,ies.puerto.impl.Ejercicio2,Circulo,24,0,0,0,8,0,5,0,5,0
interfaces,ies.puerto.impl.Ejercicio2,Cuadrado,4,0,0,0,2,0,1,0,1,0
interfaces,ies.puerto.impl.Ejercicio2,Rectangulo,10,0,0,0,4,0,2,0,2,0
interfaces,ies.puerto.impl.Ejercicio1,ReproductorMP3,7,0,0,0,3,0,3,0,3,0
